mojoTitle, rtTitle, year, found, rtID
"The Ogre",,1998,False,
"An Alan Smithee Film: Burn Hollywood Burn",,1998,False,
"Safe Men",Safe Men,1998,True,309903198
"Phoenix",Phoenix,1998,True,16168
"Digging to China",Digging To China,1998,True,12299
"First Love  Last Rites",,1998,False,
"A Personal Journey with Martin Scorsese Through American Movies",,1998,False,
"Welcome to Woop Woop",,1998,False,
"Regeneration",Regeneration,1998,True,159370914
"Star Wars: Episode I - The Phantom Menace",Star Wars: Episode I - The Phantom Menace,1999,True,10008
"The Sixth Sense",The Sixth Sense,1999,True,10054
"Toy Story 2",Toy Story 2,1999,True,9414
"Austin Powers: The Spy Who Shagged Me",Austin Powers: The Spy Who Shagged Me,1999,True,10667
"The Matrix",The Matrix,1999,True,12897
"Tarzan",Tarzan,1999,True,9491
"Big Daddy",Big Daddy,1999,True,10563
"The Mummy",The Mummy,1999,True,10585
"Runaway Bride",Runaway Bride,1999,True,11674
"The Blair Witch Project",The Blair Witch Project,1999,True,13062
"Stuart Little",Stuart Little,1999,True,11550
"The Green Mile",The Green Mile,1999,True,12939
"American Beauty",American Beauty,1999,True,12878
"The World Is Not Enough",The World Is Not Enough,1999,True,10446
"Double Jeopardy",Double Jeopardy,1999,True,13437
"Notting Hill",Notting Hill,1999,True,10110
"Wild Wild West",Wild Wild West,1999,True,11293
"Analyze This",Analyze This,1999,True,13689
"The General's Daughter",The General's Daughter,1999,True,16619
"American Pie",American Pie,1999,True,17097
"Sleepy Hollow",Sleepy Hollow,1999,True,12871
"Inspector Gadget",Inspector Gadget,1999,True,12616
"The Haunting",The Haunting,1999,True,10954
"Entrapment",Entrapment,1999,True,12102
"Pokemon: The First Movie",Pokemon the First Movie - Mewtwo vs. Mew,1999,True,9629
"Payback",Payback,1999,True,13475
"The Talented Mr. Ripley",The Talented Mr. Ripley,1999,True,13323
"Any Given Sunday",Any Given Sunday,1999,True,13380
"Deep Blue Sea",Deep Blue Sea,1999,True,13703
"Galaxy Quest",Galaxy Quest,1999,True,10245
"The Thomas Crown Affair",The Thomas Crown Affair,1999,True,12916
"Blue Streak",Blue Streak,1999,True,11223
"End of Days",End of Days,1999,True,13682
"The Bone Collector",The Bone Collector,1999,True,13446
"Bowfinger",Bowfinger,1999,True,11228
"Deuce Bigalow: Male Gigolo",Deuce Bigalow: Male Gigolo,1999,True,13590
"Life",Life,1999,True,13169
"She's All That",She's All That,1999,True,10696
"Three Kings",Three Kings,1999,True,13042
"Bicentennial Man",Bicentennial Man,1999,True,10593
"The Cider House Rules",The Cider House Rules,1999,True,10411
"Eyes Wide Shut",Eyes Wide Shut,1999,True,14282
"Never Been Kissed",Never Been Kissed,1999,True,12265
"Varsity Blues",Varsity Blues,1999,True,13150
"Forces of Nature",Forces of Nature,1999,True,11350
"Message in a Bottle",Message in a Bottle,1999,True,10338
"South Park - Bigger  Longer and Uncut",South Park: Bigger  Longer and Uncut,1999,True,12918
"The Hurricane",The Hurricane,1999,True,13539
"Stigmata",Stigmata,1999,True,16665
"House on Haunted Hill",House on Haunted Hill,1999,True,13420
"Anna and the King",Anna and the King,1999,True,10820
"Cruel Intentions",Cruel Intentions,1999,True,16563
"10 Things I Hate About You",10 Things I Hate About You,1999,True,10180
"Fight Club",Fight Club,1999,True,13153
"My Favorite Martian",My Favorite Martian,1999,True,12609
"8MM",8MM,1999,True,13766
"For Love of the Game",For Love of the Game,1999,True,10522
"Man on the Moon",Man on the Moon,1999,True,13765
"Instinct",Instinct,1999,True,14302
"The Best Man",The Best Man,1999,True,13449
"Mickey Blue Eyes",Mickey Blue Eyes,1999,True,11559
"The 13th Warrior",The 13th Warrior,1999,True,13139
"October Sky",October Sky,1999,True,10995
"Lake Placid",Lake Placid,1999,True,16700
"Random Hearts",Random Hearts,1999,True,14274
"Dogma",Dogma,1999,True,13107
"Superstar",Superstar,1999,True,12633
"Mystery Men",Mystery Men,1999,True,10623
"The Insider",The Insider,1999,True,13136
"Girl  Interrupted",Girl  Interrupted,1999,True,13028
"The Out-of-Towners",The Out-Of-Towners,1999,True,11805
"The Other Sister",The Other Sister,1999,True,10244
"Baby Geniuses",Baby Geniuses,1999,True,11638
"The Story of Us",The Story of Us,1999,True,13131
"Blast from the Past",Blast from the Past,1999,True,10388
"The Wood",The Wood,1999,True,13063
"Arlington Road",Arlington Road,1999,True,13772
"The Iron Giant",The Iron Giant,1999,True,11685
"Being John Malkovich",Being John Malkovich,1999,True,14414
